Amino acid 	P4 	P3 	P2 	P1 	P1' 	P2' 	P3' 	P4'
Gly 	16 	7 	13 	28 	7 	3 	13 	10
Pro 	5 	36 	6 	9 	1 	6 	3 	11
Ala 	8 	15 	22 	18 	3 	9 	13 	11
Val 	8 	13 	8 	0 	8 	14 	6 	4
Leu 	17 	16 	11 	2 	47 	7 	13 	10
Ile 	3 	4 	3 	1 	13 	2 	2 	3
Met 	1 	2 	3 	2 	7 	3 	1 	0
Phe 	2 	3 	3 	1 	4 	7 	4 	6
Tyr 	0 	3 	3 	4 	8 	5 	1 	5
Trp 	0 	1 	0 	1 	1 	2 	0 	1
Ser 	10 	16 	13 	12 	10 	13 	14 	10
Thr 	6 	4 	5 	3 	5 	6 	13 	7
Cys 	1 	1 	1 	0 	0 	0 	1 	0
Asn 	6 	2 	4 	14 	7 	7 	7 	9
Gln 	10 	5 	18 	6 	6 	12 	9 	9
Asp 	14 	2 	3 	6 	4 	4 	4 	5
Glu 	7 	2 	8 	7 	1 	12 	13 	13
Lys 	7 	2 	5 	8 	1 	9 	7 	6
Arg 	12 	3 	6 	12 	3 	14 	10 	12
His 	5 	2 	3 	5 	0 	4 	5 	5
